S. no.,extracted_text,LLM_summary,link_to_notice,tags
11,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY
favataqarena
yea YaTT olezitfareht ‘
(Formerly Netaji Subhas Institute of Technology)
AZAD HIND FAUJ MARG, SECTOR-3, DWARKA/ Uudod ne
Phone no. 25099290-Ext.-2325, Fax. 2 ,
Website: www.nsul.ac.in,
Office of the Dean, Student Welfare
F. No. 84(30)/2019-20/DSW/NSUT/ 384 Dated: 13.08.2024
CIRCULAR
78 Independence Day will be celebrated on 15th August, 2024 at 09.00 AM in
front of administrative block, main campus, NSUT. All Students, Director (East
Campus), Director, (West Campus), Deans, HODs, Faculty Members, Officers and
Staff Members along with their family members are cordially invited on this occasion.
The schedule of the program will be as follows:
1. Tiranga Yatra (starting point HVC residence) to Netaji Statue: 09.00 AM
2. Floral tribute at Netaji’s Statue ‘ 09.10 AM
3. Hoisting of National Flag at the Admin. Block followed by
Guard of honour by NCC cadets and National Anthem , 09.20 AM
4. Address by Hon’ble Vice-Chancellor : 09.30 AM
S. “Boondi Ke Laddu” A play by students of Ashwamedh (Stage): 09.40 AM
6. Patriotic songs by students of Crescendo : 10.00 AM
7. Cultural performances : 10.20 AM
8. Presentation of best delegation award to students of Debsoc: 10.50 AM
9. Certificates distribution of NSS volunteers : 11.00 AM
10. Felicitation of NCC cadets by Col. N.S. Yadav : 11.10 AM
11. Prize distribution : 11.20 AM
12. Vote of thanks by DSW : 11.30 AM
13. Distribution of Sweets : 11.40 AM
(Ms. Astha Singh)
Assistant Registrar (SW)
Copy to:-
1. Director, East Campus, NSUT.
2, Director, West Campus, NSUT.
3. Registrar, NSUT,
4. All Deans/HODs/ Officers, NSUT
5. All Section In-charges, NSUT,
6. All Hostel Wardens, NSUT
7. §.O, to VCO, for information of Hon’ble Vice-Chancellor, please.
8. Dr, Praveen Saroha, DPE(o): to coordinate with NSS volunteers.
9. NSUT Studio Team: to attend the office on 15! Aug, 2024 for
videography and photography.
YK oy
(Ms. Astha Singh)
Assistant Registrar (SW)
","Independence Day will be celebrated on 15th August, 2024 at 09.00 AM in front of administrative block, main campus, NSUT. All Students, Director (EastCampus), Director, (West Campus), Deans, HODs, Faculty Members, Officers and Staff Members along with their family members are cordially invited",https://www.imsnsit.org/imsnsit/plum_url.php?3zpGJh+V96oFQzwTf8e+Z52HJFvScGjN+RXSQonK6T94JpbZpbDJ8nGcBMpnkg9oE28/8l2X5SHl6hc6IE4mrw7Dq+Q+6xiYAvvCUmmjlMuDzMXwTfwrzhU4vqDsD4YK+nVfFF/fBkomSA7PV3SYHgYwtZYCdj8D35HH8qFW5zfjU23f/DeAsljkOkClwlgL,"['Time Table', 'Exam Schedule']"
12,"PageNo 1
sno.f Nat] 26.24,| 271
FACULTY OF TECHNOLOGY, UNIVERSITY OF DELHI
Name of Institute ; nETAJT SUBHAS INSTITUTE OF TECHNOLOGY
The Result of the following candidates of B.E. - Semester: 6 ~ MANUFACTURING PROCESsEs anp AUTOMATION ENGINEERING examination held in - APR - MAY - 2024 is shown here under:-
Name sub j ]
GR GP CRP
sl Roll No Father's Name cr CRP TOT CR | TOT SGPA cs
MADHUSUDAN VAISENAO _ MAD27 - : - 7
° 10 40 4
x 20170MP1013 waRESH KUMAR VAISHNAO 4 40 ‘ | 10-00
MUDIT RUSTAGI MAD27 7
° 10 4
2 20170MP1021 sacs KUMAR RUSTAGT -* 40 4 40 10.00
* - Essential Re-Register, RL - Result Later if Necessary
END OF RESULTS B.E. - SIXTH SEMESTER - MANUFACTURING PROCESSES AND AUTOMATION ENGINEERING HELD IN APR - MAY - 2024
1
COWTROLLER o, - EXAMINATIONS
Cee ""he kv
D9 Ave omy
Scanned with CamScanner
",The Result of the following candidates of B.E. - Semester: 6 ~ MANUFACTURING PROCESsEs anp AUTOMATION ENGINEERING examination held in - APR - MAY - 2024 is shown here under:-Name sub j ] GP CRP sl Roll No Father's Name cr CRP TOT,https://www.imsnsit.org/imsnsit/plum_url.php?5hYYemG5paplMnHRaVvjorjPcPlBCt+7REbUQKfo/4tnwCnQqsAKs93UfrLziLO5M1rgzC4lZaouM6WhiUQcQP+sJ9ro/pRcOcj2rZJxE1PoVlGdpAyaazTvsSar0Bfvvt6OrUQyC4SL3szXinJ7/PcnM0fHcU+NQMkSa5j998BHTnq3yK82gw99GAC3h9Quvk44aX9UFdb4pSiU/7GfiA==,"['Results', 'ECE']"
13,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY
Azad Hind Fauj Marg, Sector-3, Dwarka, New Delhi-110078, Website: www.nsut.ac.in
Office of the Proctor
F.No. 84(72)/2019-20/DSW/NSUT/2-66 Dated : 13,-(/-2024
NOTICE
It has been brought to the notice of the proctorial board that several unauthorized and
unofficial fresher's parties are being organized independently by students claiming to be part of
NSUT/DTU/IGDTU/IIITD. Students are being asked to pay an extra amount to seniors. Food,
Drinks, hookah Blind dates and security of girl students is being promised at some lavish event.
Some of
 
the organizers are of poor academic standing and dubious character.
Students and their parents may note that NSUT does not support or promote such action.
The University is not responsible for organizers, attendees, security or mishaps occurring at any
such unauthorized events. Students are advised not to attend. Especially, girl students are advised
not to participate. Any NSUT students making such unauthorized collection will be severely
penalized.
Any fresher student of NSUT facing any kind of threat or coercion to pay any amount to
attend these parties is requested to report the matter to the Dean, Student's Welfare. Your identity
will be kept confidential.
\ Os
vy) .
(Prof. Sonika Bhatnagar)
Chief Proctor
Copy to for information please:
Dean (Academic), NSUT
Dean Student Welfare, NSUT
Chief Hostel Warden
All Hostel Wardens
Executive Engineer (C/M)
Chief Security Officer
Coordinator (CUMS)
PAM
 
PONS
","Unofficial fresher's parties are being organized independently by students claiming to be part of NSUT. Students are being asked to pay an extra amount to seniors. Food, drinks, hookah, Blind dates and security of girl students is being promised at some lavish event.",https://www.imsnsit.org/imsnsit/plum_url.php?6OpdsLMNIvYfrbWa2yuXi2/ffmQCuOCT9rsedH0edN4Ayc7gYcmMkHNb1LAWjg0+s8dF2+oR9lCKlrObAfrtEgdIFxj6bT4IKnzkAet6Tn+Bd8htOPF4zY/WFEQVR41TdcAZPrmVYatBfTzyjvkAXx0A3sNnO5IL2V4XVtAHC3M5d7aj2VzqTfZ+uL+Dkv9ODqBp4tmdoe0NgNcTSDI9RHdkoA9hVo2QMyEGc9CFnHY=,[]
14,"Department of Computer Science and Engineering
Guidelines of BTP for selection of Project Title and Supervisor
Ail the B.Tech. final year students (CSDA & CIOT) are informed to kindly join the BTP 2024-25 google classroom
for regular updates and guidelines for completion of project credits in 7 semester.
Details for a BTech project:
1) Fill the details in the following google form link:
https://forms.gle/uSSELKLBrccxHhdo6
e Team of 2 to 3 students is allowed.
e §6Allsupervisors may undertake a minimum of 5 groups and a maximum of 3 groups.
e No change of supervisor, group members, or project title will be entertained without the permission
of the coordinator.
Googie classroom: BTP 2024-25
Class code: fyme6Giu
The last date of submission of mutual consent form inthe D-101 duly signed by supervisor and all the team
members is 16 August 2024,
Pmeesienesd yee
 
da gen hienes
MROSEOOCT PUA PATENT:
POA EWG ed
e Mid-Term and End-Term evaluations will be conducted as per the university's academic calendar.
e Students are expected to regularly meet the supervisor(s) and update their progress.
e Consent form is in third page.
All the students need to carefully read the instructions before submitting the online and offline details.
Further details are present in google classroom.
DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
FORM OF MUTUAL CONSENT FOR BTP (2024-25)
Team Members (Name & Roll Number):
1.
2.
3.
BTP TITLE/TOPIC:
Statement of the Students
We have read the guidelines for proper execution of BTP in the department and agree to abide by them.
Signature of the Students:
1. 2. 3.
Date:
Statement of the BTP Supervisor
| agree to supervise the above-mentioned students for BTP.
Name of the Supervisor:
Signature of the Supervisor:
Date:
",The B.Tech. final year students (CSDA & CIOT) are informed to kindly join the BTP 2024-25 google classroomfor regular updates and guidelines for completion of project credits in 7 semester. The last date of submission of mutual consent form inthe D-101 duly signed by supervisor and all the team members is 16,https://www.imsnsit.org/imsnsit/plum_url.php?NmZDW1Zz49o6S8+0IImwhiUM0RuWzJ+Gs8W65razxQ6yYbBjinQ6IY3OVAXDtmkEclBTtbuRKLd5A2jihuQ26FkQ/Puo+zPsJWDUPzscymYiOTliNkwaWv42eCvzEEgNEZ7bk+IZUUFKAETR+na6wBxu2C36h4+ccBUuZsJ+VEbJQe+Ap5N1RF7xRBU/qg9IQ+VSOeatxCE9tV/WkvW9IA==,['B.Tech']
15,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY
Farell Furs WreliPrept fayfeerera
(Formerly Netaji Subhas Institute of Technology)
AZAD HIND FAUJ MARG, SECTOR-3, DWARKA, NEW DELHI-110078
Website: www.nsut.ac.in
File No.208(139)/B.Tech. Admission/2024/NSUT/64 Date: 12.08.2024
1. Aninternal branch upgradation round will be conducted for B. Tech/B. Arch 1*t year students who have been
admitted in NSUT through JAC Delhi-2024. Students who are interested in branch upgradation are required
to submit online fresh choices of branches through their JAC login id on_ website
www.jacdelhi.admissions.nic.in.
2. Students who don’t want any change in their currently allotted branch are not required to fill/submit
any choice and they SHOULD NOT login in their account on www.jacdelhi.admissions.nic.in. The
currently allotted branch of these students will remain unchanged.
3. Itmay be noted that the choices filled by students earlier at the time of online registration/counselling
under JAC Delhi-2024 will become NULL and VOID. Freeze/Float option of earlier rounds will also no
longer be considered.
4. The internal upgradation of branches will be done only as per available seat vacancy in different branches
of NSUT in accordance with the JEE (Mains)-2024 CRL only. This upgradation will be done only in respective
category/subcategory/region of the student. No request for any change in category/subcategory/region will
be entertained in this regard.
5. Accordingly, all those B.Tech. First Semester students, who are willing to participate in the internal
Upgradation of branches in the University, are required to submit/fill fresh choices as per the below
mentioned schedule, through their JAC login id on website www.jacdelhi.admissions.nic.in.
(a) Only currently allotted/admitted branch is visible in candidates’ JAC login.
(b) Student has to fill the fresh choices to participate in this upgradation round.
(c) Student can select choices one by one from list of available choices and can add it to his/her preference
of choices.
(d) Preference of choices can be rearranged by moving a filled choice up/down in the preference list.
Note:
1. Choices once filled and locked by system, will not be changed later under any circumstances.
2. No request for refilling the choices will be entertained after 14.08.2024 (11:59 PM, Wednesday).
3. Students’ currently allotted branch cannot be deleted from his/her choices.
4. Branch once upgraded shall be final and no request in this regard will be entertained by the
university.
Programme Name
NSUT, East Campus, Geeta Colony
Computer Science and Engineering (Big Data Analytics) CSDA
Electronics and Communication Engineering ECAM
(Artificial Intelligence and Machine Learning)
Computer Science and Engineering (Internet of Things) CIOT
NSUT, West Campus, Jaffarpur
Civil Engineering CE
Geoinformatics Gl
Mechanical Engineering (Electric Vehicles) MEEV
eT
(Dr. Tarun Rawat)
Chairman Admissions-2024
",An internal branch upgradation round will be conducted for B. Tech/B. Arch 1*t year students who have been admitted through JAC Delhi-2024. Students who don’t want any change in their currently allotted branch are not required to fill/submit any choice. The choices filled by students earlier at the,https://www.imsnsit.org/imsnsit/plum_url.php?2xduNpbfuBQ6UUzJB/EKlNlg8iWKcVqKO4jXBeNQw7T7FX2r1CHZQ6GdzYJKNp4BAVXKEk2frvntXydUkXHXvbuaiylDed5UaB1EiFRSA3XXEXQCKNAIojjTeI5zF4QBJosass6WlNskYvOJORcFQ9QYlIRK0YACV32n77QdFCMCGtie9/4lO9Lt+EDbEe8bhDtP+dYwN6iyPq9yKxOYssZzJOnwQPQsQ64t470kFvvWP55mvEOC/LjVw+XvGZ2L,"['Fee Payment', 'Time Table', 'Exam Schedule', 'B.Tech', 'ECE', 'Backlog']"
16,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY
Azad Hind Fauj Marg, Sector- 3, Dwarka, New Delhi 110078
OFFICE OF THE CONTROLLER OF EXAMINATION
Dated: 12.08.2024
NOTICE
All the students who were caught in the Unfair Means case during the End Semester
Examination of Summer Semester (July 2024) are hereby informed that the punishment letter
has been communicated by email to their email addresses. If required, the students may
collect a physical copy of the punishment letter from the Examination Section, NSUT (Main
Campus) from 13.08.2024 to 14.08.2024 (11:00 A.M. to 12:30 P.M & 03:00 P.M. to 04:30 P.M.)
only.
Controller of Examination
","Students who were caught in the Unfair Means case during the End Semester (July 2024) are hereby informed that the punishment letter has been communicated by email to their email addresses. If required, the students may collect a physical copy from the Examination Section, NSUT (MainCampus) from 13.08.2024 to 14",https://www.imsnsit.org/imsnsit/plum_url.php?t0oxKvpJ4+O4mMyaAyZ13T5tjAN2j8Gvz8DNVPTUniEVzNsNp+tfqkwEB6iDUoj5WBtakAQC1WELhZ0vpFhYRbxNz1hlJ6YPvTUVCk2cHnECq548ZRZMIvvnUxNR9B77LXyOTN1kRGgWLNFWSW6Fzmv8RqKu3M0kGXCXjD1QuhXjnFD5Z9lqKtdBwcCbh+fgt/jlGe4y0scFGqucOSKsDg==,[]
17,"TIMELINE OF E-DISTRICT
GUIDELINES AVAILABLE AT iles/
https://higheredn.delhl.qov.in/sites/dofault/fllos/higheredn/generic_multiple files
4090.dho_0001.pdf
And https://edistrict.delhiqovt.nic,In/In/on/Public/ServiceGuldeline.htm!
S.N. |NAME OF THE SCHEME THROUGH E- LAST DATE | LAST DATE OF
DISTRICT VERIFICATION
1.| Delhi higher & technical education support 31-08-2024 30-09-2024
scheme (formerly known as MCM)
2.} Post Matric for SC 31-10-2024 15-11-2024
3.| Post Matric for OBC 31-10-2024 45-11-2024
4.| Merit Scholarship for SC/ST/OBC 31-10-2024 15-11-2024
TIME LINE OF NATIONAL SCHOLARSHIP PORTAL
GUIDELINES ARE AVAILABLE AT https://scholarships.gov.in/All-Scholarships
Wards Of States/Uts Police Personnel
S.N. |
 
NAME OF THE SCHEME THROUGH NSP | LAST DATE LAST DATE OF
VERIFICATION
5.| Scholarship For Top Class Education For 31-10-2024 15-11-2024
Students With Disabilities
6.| Post Matric Scholarship For Students With | 31-10-2024 15-11-2024
Disabilities
7.| Central Sector Scheme Of Scholarships 31-10-2024 15-11-2024
For College And University Students
8.| National Fellowship And Scholarship For 31-10-2024 15-11-2024
Higher Education Of St Students -
Scholarship (Formally Top Class Education
| For Schedule Tribe Students)
9.| National Means Cum Merit Scholarship 31-08-2024 15-09-2024
10. Prime Minister'S Scholarship Scheme For _ | 31-10-2024 15-11-2024
Central Armed Police Forces And Assam
Rifles
11. Prime Minister'S Scholarship Scheme For | 31-10-2024 15-11-2024
Martyred During Terror/Naxal Attacks
12. Prime Minister'S S j
ne cholarship Sch -10- -
Ministry Of Railways p Scheme For 31-10-2024 15-11-2024
13. Aicte - Swanath Scholarshi
ip Sch -10- -11-
Technical Degree) p Scheme
 
( 31-10-2024 15-11-2024
a a Saksham Scholarship Scheme For | 31-10-2024 15-11-2024
pecially Abled Student ( Technical
Diploma) :
15). Aicte - Pragati Scholarship Scheme For Girl | 31-10-2024 15-11-2024
Students ( Technical Degree)
16. National Scholarship For Post Graduate 31-10-2024 15-11-2024
Studies . ;
17). Ishan Uday Special Scholarship Scheme 31-10-2024 15-11-2024
For Ner
{| Central Sector Scholarship Of Top Class _| 31-10-2024 15-11-2024
Education For Sc Students
19. Pm Yasasvi Central Sector Scheme Of Top 05-08-2024 05-08-2024
Class Education In College For OBC, EBC
And DNT Students
31-10-2024 15-11-2024
20
Wards Of Beedi/Cine/lomc/Lsdm- Post
Matric
| Financial Assistance For Education To The
",TIMELINE OF E-DISTRICTGUIDELINES AVAILABLE AT iles/https://higheredn.delhl.qov.in/sites/dofault/fllos/highered.n/generic_multiple files                4090.dho_0001.pdf.,https://www.imsnsit.org/imsnsit/plum_url.php?jASQKbGfngO6VPzgvzMY0lgrQgcammRfYK8Gx2jsZCeTCqequ6Nym5to2gH1gMB2Fg8tV5tFxWg6HArnp0x9jfOAGBnybQST/CJKwyxGyd28qGKKL8bmp0hjGG7gn0hOCtJbXVg8j/W2E59aWAMy93C6kCqAkl7wnfcjUnDcTucOUJ6Uum+44X6PH8+lvT9wc0GXhFWB+AejK8WJ4KxssENSSIy3W1XfWhjrNUXdhNQ=,"['Scholorship', 'Time Table', 'Exam Schedule']"
18,"Netaji Subhas University of Technology
(Dwarka Sector-3, Dwarka, Delhi, 110078)
GUIDELINES: HOW TO REGISTER FOR NPTEL EXAM?
Faculty Development and
Student Mentoring
3. Log in to your profile.
COURSE CATALOG +
Acquire skills that
meet your needs
A s a Result (All CBT 7 Pi
Let COVID-19 not Stop weil REC TAS
NPTEL Jan 2021 Exams SWAYAM Courses in ; - Paper) - SWAYAM
-
4. Go to My Courses.
-
=
swayam | About Swayam | All Courses | National Coordinators | Local Chapters
—~
&
Interface with SWAYAM ¢
as a Local Chapter SS Wy
bs
5. Click on Register for Exam (For Your Allotted Course) as
encircled in this Picture.
swayam Abo wayalr All Courses | National Coordinators | Local Chapters
COURSE CATALOG ~
Gy MY COURSES
Upcoming/Ongoing : Completed
>) Innovation, Business Models and Entrepreneurship
6. You will be redirected to a new Tab. Ensure your NSUT Email
ID is Visible. After that, click on ““Go to Personal Info.”
§ Exam Dashboard ae
Welcome to the NPTEL Exam Form registration page.
Personal Info
Before you start, please go through the Timelines and Guidelines and Final Course List
Courses
Important Note: Kindly use the latest versions of Google Chrome or Mozilla Firefox to fill in the Application Form. Use Mouse
Select City to move between fields for entry of data instead of using Tab Key
Fields marked with * are mandatory
q Go to Personal Info D
tt ele
Review and Finish
7. Fill the Details carefully and patiently as explained in this
tutorial in next few points. Some fields can’t be edited. The
address should be your residential address. In case of any doubt,
please feel free to consult your allotted mentor.
®@ Personal Info
8. Upload the documents as specified. Take a note of rules given
there. Digi Locker Documents will be accepted. The issued
documents in Digi Locker system are deemed to be at par
with original physical documents as per Rule 9A of the
Information Technology.
9. The next two Fields shall be as filled accordingly along with
authorised documentation proof.
Do you come under SC/ST category? *
Yes No
Are you a person with disabilities? *
Select a value
10. Select Role as ""Student"". The field cannot be edited once
Saved.
How did you know about these courses? *
College
Are you okay if we share your details with potential employers? *
fe) Yes No
What is your motivation to do this course? *
To update myself with knowledge in this field
Save & Continue
ee eee
11. Read your details once again to avoid any errors. And then,
Click “Save and Continue.”
12. The following details will remain same for everyone except
Degree, Department and year No Edit Requests Shall be
Entertained.
NOTE: Any changes in last two fields might lead to failure in the
course, fill them with extreme attention.
Personal Info
Student Specific Details
You are seeing this page because you selected your role as 'student' in the previous page. If you wish to change your role, please go back to Personal Info.
Your college Country *
India
Your college State *
Delhi
Your college City *
Delhi
Your college name *
Netaji Subhas University Of Technology
Degree *
Department *
Year of study *
Are you taking this exam for Credit Transfer? *
© Yes © No
Can we share score with your college? *
O Yes © No
| agree and understand that my registration details, hall ticket, exam score and e-certificate will be shared
with my SPOC and college.
Save and Continue
13. To proceed, Click on “Save and Continue.”
15. Following Window will be seen. Click on Add Course.
2
+ Exam Dashboard
G Courses
Q Select city
EI Review and Finist
16. And then add the allotted Course from the dropdown.
(Swayam | ®
@ Pe
7 =
9 ’
=
17. Your course had been added. Click on “Select Exam
Cities.”
swayam |)
3
e
G Courses
9
18. Click Edit.
19. Based on your preference, select order of exam cities. Click
on “Confirm and Save.”
20. Your preferences have been saved. Now, proceed to pay.
21. Review your personal details before final submission.
s Review
and Finish
22. Read and agree to terms and then make the payment.
Total: 1000
Terms and Conditions
nent Amount F 1000.00
24. Once payment is made. Following screen will be seen.
Payment Status
25. Verify the status by going to “Courses.”
HE
8
G@ Courses
9
8
Note: In case of Queries, Contact the dedicated Mentors.
","Netaji Subhas University of Technology, Dwarka, Delhi, 110078, India. NPTEL Jan 2021 Exams SWAYAM Courses in ; - Paper. Innovation, Business Models and Entrepreneurship (COURSE CATALOG) (CBT 7 Pi) and CBT 7 Pi.",https://www.imsnsit.org/imsnsit/plum_url.php?cnrLuScdBqHbJ+iXR2IhIFmD0/Qltn7f+tRsTCCu/Y6g53C9+JDGn7DVvspiwb2X0Ts3VYuGkBSbk9VO8s/I8093zZTxzS1kp5A4QuI2jGKOdGhw4O9NZaoRBLM9idnNvBWOC+vKgYdbIwhZhoPit8jdpAgFvxoGtT5n3oUfiWpVAGQ1S5BHuBbxTognfDyFLao7v+BIax2rGJuov8C04tx9dkiHRkdmyIbuvPrZ8CI=,"['Fee Payment', 'Results', 'Backlog']"
19,"B. TECH. Scheme: CSDA and CSIOT
Course Course Courses L T P Credits
No Code
1CC1 FCMT0101 | Mathematics-| 3 1 0 4
1CC2 FCCS0102 | Computer Programming 3 0 2 4
1C0C3 FCPH0114 | Physics 3 0 2 4
10¢4 | FCEEO106 | Fundamentals of — 3 0 2 4
Electrical Engineering
Basics of Electronics &
10C5 FCEC0106 | Communication 3 0 2 4
Engineering
CSDA SECTION 1
08:00- | 09:00- 10:00- 03:00- 05:00-
Days/ Time | 09:00 10:00 11:00 04:00 | 04:00:05:00 | 06:00
Monday SPORTS/YOGA
Tuesday SPORTS/YOGA
Wednesday | Po
Thursday |
 
EM
Friday E11
Tutorial/
Theory Course Floom Name of Instructor Lab Room Name of Instructor
Slots Code No. slots No.
FCEE0106 | H-301 Dr. Kirmender E-106 Dr. Kirmender
F-205/ Prof. Ashok Mittal +
G-401 Mr. Anubhav (URF)
H-301 Mr. Shantanu Das
FCMT0101 | H-301 Mr. Shantanu Das
Dr. Vinamrita Singh
FCPHO114 | H-301 Dr. Vinamrita Singh B-303 + Ms Sonia (UBF)
Dr. Abhishek Ms. Kirti Sharma
FCCS0102 | H-301 Sharma F-304 (URF)
CSIOT SECTION 1
08:00- | 09:00- 10:00- 05:00-
Days/ Time | 09:00 10:00 11:00 04:00:05:00 | 06:00
Monday SPORTS/YOGA
Tuesday | SPORTS/YOGA |
 
E11
 
| Po
 
Lunch |
Wednesday
Thursday P15
Friday |
Theory Course Room Name of Tutorial! Room Name of Instructor
Slots Code No. Instructor slots No.
|
 
5
 
| FcmT0101 | H-302__| Mr. Shantanu Das H-302 _| Mr. Shantanu Das
, , P11 (G1) ; og:
Dr. Vinamrita Dr. Vinamrita Singh +
E11 FCPHO0114 | H-302 Singh tay B-303 Mr. Sahil Tak (UBF)
, , F-205/ ; ;
FCECO0106 | H-302 Dr. Krishna Pateti G-404 Dr. Krishna Pateti
FCCS0102 | H-302 GF4 F-303 Ms. Vidhu Jain (URF)
FCEE0106 | H-302 Mr. Akhilesh E-106 Mr. Akhilesh
B. TECH. Scheme: ECAM
Course Course Courses L T Credits
No Code
1CC1 FCMT0101 | Mathematics-| 3 1 4
1CC2 FCHS0105 | English 3 0 4
Environmental & Green
1CC3 FCCH0103 Chemistry 3 0 4
Fundamentals of
10C4 FCEE0106 Electrical Engineering 3 0 4
1CC5 FCME0116 Engineering Graphics & 3 0 4
CAD
ECAM SECTION 1
08:00- | 09:00- | 10:00- 05:00-
Days/ Time | 09:00 10:00 04:00:05:00 | 06:00
Monday SPORTS/YOGA
Tuesday | SPORTS/YOGA
Wednesday FE Batch-3
Thursday | EW
Friday
Theory Course Room Tutorial/ Room
Slots Code No. Name of Instructor Lab slots No. Name of Instructor
FCMT0101 | H-403 Dr. Kumari Ranjana H-403 Dr. Kumari Ranjana
; P11 (G1) Dr. Sunita + Dr.
E11 FCCHO0103 | H-403 Dr. Sunita pan B-205 Rukmani Sharma
Dr. Pradeep K.
Dr. Pradeep K. ; Chaswal (G2) + Mr.
FCHS0105 | H-403 Chaswal D-101B Yashpal
Banshelkikar (G1)
FCEE0106 | H-403 Dr. Avinash Kumar E-106 Dr. Avinash Kumar
FCME0116 | H-403 Dr. G. Veda D-101A Dr. G. Veda
ECAM SECTION 2
08:00- 09:00- 10:00- 03:00- 05:00-
Days/ Time | 09:00 10:00 04:00:05:00
Monday SPORTS/YOGA
Tuesday SPORTS/YOGA
Wednesday
Thursday
Friday
Theory Course Room Tutorial/ Room
Slots Code No. Name of Instructor Lab slots No. Name of Instructor
Mr. Shantanu T1 +
FCMT0101 | B-304 Mr. Ashutosh B-304 Mr. Ashutosh T2
Dr. Pradeep K.
P11 (G1)
: Dr. Pradeep K. ; Chaswal (G2) + Mr.
FCHS0105 | B-304 Chaswal a 3 D-101B Yashpal
Banshelkikar (G1)
; Dr. Sunita + Dr.
FCCHO0103 | B-304 Dr. Sunita B-205 Rukmani Sharma
FCMEO116 | B-304 Dr. G. Veda D-101A Dr. G. Veda
FCEE0106 | B-304 Dr. Avinash Kumar E-106 Dr. Avinash Kumar
",B. TECH. Scheme: CSDA and CSIOTCourse Course Courses L T P Credits. No Code. 1CC1 FCMT0101 | Mathematics. 3 1 0 4                1CC2 FCCS0102 | Computer Programming. 3 0 2 4.                1C0C3 FCPH0114 | Physics,https://www.imsnsit.org/imsnsit/plum_url.php?ghnWU5NRp1QYu8My2TNcTYbL2BQfU0oWQyjml0xv/pXLtLpZyxYbCM7fbf430/RA+BBhBsRGVKdzJF5r08QZKmTZuMvdtpU9sDjWfZLyNdCkKYZZVisqrMsD6ACJV3GLR1SivhGQZuRsPA7iqi6eBT6xZk/BbQc/nTRGskaw/aY7Tvrn1hmyrwwa1oO7Egiq,['Scholorship']
20,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY
aaah qare atequrfarchr fagataqarera
(Formerly Netaji Subhas Institute of Technology)
AZAD HIND FAUJ MARG, SECTOR-3, DWARKA, NEW DELHI-110078
Phone no. 25099290, Fax. 25099022, 25
Website: www.nsit.ac.in,
F.No. 208(139)/Admissions-2024/NSUT/63 Dated 09.08.2024
NOTICE
Newly admitted 1st semester who have neither deposited the balance fee nor
reported for registration at NSUT are required to report at the Admission
Cell (Room No. 12, Admin Block, NSUT Main Campus, Sector-3, Dwarka,
New Delhi) of NSUT 11:00 AM by 12.08.2024 (Monday). Those who have
reported earlier at the admission cell need not to report.
The last date for depositing the Balance Fee of 18! semester B. Tech./B. Arch.
students was 08.08.2024.
In case a candidate fails to report on the above said date and time, the
competent authority of NSUT has decided to cancel the admission of such
candidates. eS""
— a
 
ORY
Dr. Tarun Rawat
(Chairman Admissions-24)
","The last date for depositing the Balance Fee of 18! semester B. Tech./B. Arch. students was 08.08.2024. Those who have not reported at the admission cell need not to report. In case a candidate fails to report on the above said date and time, the incompetent authority of NSUT has decided",https://www.imsnsit.org/imsnsit/plum_url.php?Xm3KcbfEdZoMoXuZQ+ejNNF5m0M4rWaInOnbI6UYCNfope00sAAiFA7ksy5SjqTluBjBTvtU403q4MQ8IJAnWAWtoshdh5pBpAGirWPUht1MzFw0d782j4VzlZkoHYeRnzSviBHED4JnVITZqrG2WzSsVWLns0gYm/a6TK86f+egqBdj+oU4whbZYXq2I0SQi5h9+LB0iXJM/MBeVTrZjw==,"['Fee Payment', 'Backlog']"
